Unnamed: 0,match_event_id,location_x,location_y,remaining_min,power_of_shot,knockout_match,game_season,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,team_name,date_of_game,home/away,shot_id_number,lat/lng,type_of_shot,type_of_combined_shot,match_id,team_id,remaining_min_1,power_of_shot_1,knockout_match_1,remaining_sec_1,distance_of_shot_1
0,10.0,167.0,72.0,10.0,1.0,0,2000-01,27.0,38.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2000-10-31,MANU @ POR,1,"45.539131, -122.651648",shot - 30,,20000012,1610612747,10.0,1.0,50.608000000000004,54.2,38.0
7,254.0,1.0,28.0,8.0,3.0,0,2000-01,5.0,22.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-10-31,MANU @ POR,8,"45.539131, -122.651648",,shot - 3,20000012,1610612747,68.64,3.0,0.0,5.0,22.0
16,100.0,0.0,0.0,0.0,1.0,0,2000-01,1.0,20.0,,,Goal Area,Less Than 8 ft.,Manchester United,2000-11-01,MANU vs. UTA,17,"42.982923, -71.446094",,shot - 4,20000019,1610612747,0.0,1.0,0.0,1.0,20.0
19,249.0,0.0,0.0,10.0,3.0,0,,46.0,20.0,,Center(C),,Less Than 8 ft.,Manchester United,2000-11-01,MANU vs. UTA,20,"42.982923, -71.446094",shot - 4,,20000019,1610612747,10.0,70.36,0.0,46.0,20.0
21,265.0,134.0,127.0,9.0,3.0,0,,4.0,38.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-11-01,MANU vs. UTA,22,"42.982923, -71.446094",shot - 24,,20000019,1610612747,9.0,43.36,0.0,4.0,38.0
32,4.0,163.0,76.0,11.0,1.0,0,2000-01,26.0,37.0,,Right Side(R),Mid Range,16-24 ft.,Manchester United,2000-11-04,MANU @ VAN,33,"49.250068, -123.114646",shot - 34,,20000047,1610612747,11.0,1.0,0.0,26.0,37.0
33,8.0,70.0,194.0,10.0,1.0,0,2000-01,58.0,40.0,,Right Side Center(RC),Mid Range,16-24 ft.,Manchester United,2000-11-04,MANU @ VAN,34,"49.250068, -123.114646",,shot - 3,20000047,1610612747,10.0,1.0,121.60799999999999,58.0,40.0
34,26.0,1.0,19.0,7.0,1.0,0,2000-01,33.0,21.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-04,MANU @ VAN,35,"49.250068, -123.114646",shot - 39,,20000047,1610612747,,1.0,0.0,33.0,21.0
35,37.0,-12.0,,5.0,1.0,0,2000-01,58.0,21.0,,Center(C),Goal Area,Less Than 8 ft.,Manchester United,2000-11-04,MANU @ VAN,36,"49.250068, -123.114646",shot - 39,,20000047,1610612747,5.0,104.36,102.60799999999999,58.0,84.4
36,53.0,1.0,4.0,4.0,1.0,0,2000-01,9.0,20.0,,Center(C),Goal Area,,Manchester United,2000-11-04,MANU @ VAN,37,"49.250068, -123.114646",,shot - 4,20000047,1610612747,108.64,1.0,0.0,9.0,59.4
