shot_id_number,is_goal
1,0.6595429
8,0.38032222
17,0.42656988
20,0.28777206
22,0.61218154
33,0.6158501
34,0.5939182
35,0.5752871
36,0.5752871
37,0.40518308
38,0.61389774
45,0.5648351
50,0.6332351
55,0.7436074
60,0.7214039
62,0.64447844
66,0.57704675
67,0.59903204
71,0.6114747
72,0.62964547
76,0.6606865
80,0.60332143
85,0.5775702
86,0.59903204
87,0.6096302
92,0.6336407
95,0.6061815
97,0.6135332
104,0.52067935
113,0.60529625
122,0.13146216
123,0.6320355
126,0.6013237
133,0.30034482
134,0.6301503
141,0.60253006
144,0.63794845
150,0.5515412
152,0.57531655
153,0.38765305
156,0.5372501
159,0.2913996
165,0.38954055
172,0.5998255
182,0.30071163
192,0.61351204
193,0.28733832
196,0.6233994
202,0.61528563
205,0.6104808
210,0.6619868
211,0.6250676
228,0.05382037
250,0.2882061
257,0.6434369
260,0.58005387
262,0.5852808
264,0.6103862
267,0.63865066
279,0.28777206
282,0.75017345
293,0.5901064
299,0.2813546
300,0.5296779
301,0.597377
317,0.66972655
327,0.65555906
328,0.60742664
335,0.6061559
346,0.2739463
348,0.41558546
360,0.71407425
365,0.5960094
379,0.6139964
382,0.55285037
390,0.4183076
391,0.30372852
392,0.61272347
397,0.7302048
417,0.62883264
418,0.6268118
420,0.6197734
428,0.65168405
429,0.5872698
434,0.62095916
439,0.40420794
440,0.64534104
451,0.6847189
456,0.5921791
459,0.583529
472,0.6103862
480,0.5842388
491,0.7015629
497,0.600433
509,0.62602115
511,0.65886766
523,0.60506546
533,0.59760594
544,0.5817895
546,0.63038695
552,0.6210628
555,0.32160908
558,0.6482866
560,0.60506403
568,0.60654026
571,0.40420794
573,0.60537666
576,0.13146216
578,0.28777206
591,0.61101115
596,0.5814903
597,0.6259212
601,0.4961325
605,0.5976536
617,0.6140021
625,0.6554024
628,0.7091812
634,0.6090137
646,0.598135
649,0.5938213
651,0.3021301
654,0.05776298
656,0.61243105
657,0.56384385
661,0.19145703
669,0.60204357
670,0.050566375
680,0.30701172
693,0.44590378
694,0.63076204
699,0.59113723
711,0.6039007
715,0.6033863
718,0.5933734
722,0.6133694
723,0.6307652
725,0.4683482
734,0.6033863
735,0.6061559
737,0.6029186
746,0.60742664
747,0.52823997
764,0.63227725
766,0.6466882
767,0.6483654
771,0.63300645
773,0.5941547
774,0.6011644
783,0.6234827
784,0.61380994
789,0.61528563
792,0.7535666
804,0.67900896
809,0.6366834
812,0.70733094
813,0.6650922
817,0.57756543
818,0.6038659
820,0.61306655
825,0.64873403
826,0.6311026
829,0.6209793
833,0.6099833
855,0.6191519
859,0.2923919
862,0.61774087
870,0.6258733
876,0.63397276
880,0.62484264
886,0.16604728
889,0.29405236
891,0.58933043
897,0.052215993
902,0.6086991
903,0.45189404
908,0.64715374
909,0.6146892
920,0.6619158
922,0.5957391
924,0.5338187
932,0.7418635
934,0.64398485
937,0.6834607
938,0.41238332
941,0.6098766
943,0.6035868
947,0.59379864
950,0.6373308
952,0.61349577
954,0.050566375
962,0.4138779
963,0.58089304
975,0.61931694
979,0.5985295
981,0.58597684
983,0.7045368
985,0.40420794
989,0.6334343
995,0.60412705
998,0.5812743
1008,0.59347045
1019,0.30746228
1023,0.6079107
1026,0.63485825
