match_event_id,location_x,location_y,remaining_min,distance_of_shot,shot_basics,is_goal,shot_id_number,area_of_shot_0,area_of_shot_1,area_of_shot_2,area_of_shot_3,area_of_shot_4,area_of_shot_5,area_of_shot_6,type_of_shot_0,type_of_shot_1,type_of_shot_2,type_of_shot_3,type_of_shot_4,type_of_shot_5,type_of_shot_6,type_of_shot_7,type_of_shot_8,type_of_shot_9,type_of_shot_10,type_of_shot_11,type_of_shot_12,type_of_shot_13,type_of_shot_14,type_of_shot_15,type_of_shot_16,type_of_shot_17,type_of_shot_18,type_of_shot_19,type_of_shot_20,type_of_shot_21,type_of_shot_22,type_of_shot_23,type_of_shot_24,type_of_shot_25,type_of_shot_26,type_of_shot_27,type_of_shot_28,type_of_shot_29,type_of_shot_30,type_of_shot_31,type_of_shot_32,type_of_shot_33,type_of_shot_34,type_of_shot_35,type_of_shot_36,type_of_shot_37,type_of_shot_38,type_of_shot_39,type_of_shot_40,type_of_shot_41,type_of_shot_42,type_of_shot_43,type_of_shot_44,type_of_shot_45,type_of_shot_46,type_of_shot_47,type_of_shot_48,type_of_shot_49,type_of_shot_50,type_of_shot_51,type_of_shot_52,type_of_shot_53,type_of_shot_54,type_of_shot_55,type_of_shot_56,type_of_shot_57,type_of_combined_shot_0,type_of_combined_shot_1,type_of_combined_shot_2,type_of_combined_shot_3,type_of_combined_shot_4,type_of_combined_shot_5,type_of_combined_shot_6,lower_range_0,lower_range_24,lower_range_16,lower_range_8,upper_range_8,upper_range_32,upper_range_16,upper_range_24,home_0_0,home_1_0,month_01,month_02,month_03,month_04,month_05,month_06,month_10,month_11,month_12,knockout_match_0_0,knockout_match_1_0
10.0,167.0,72.0,10.0,38.0,4,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
254.0,1.0,28.0,8.0,22.0,0,,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
100.0,0.0,0.0,0.0,20.0,0,,17,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
249.0,0.0,0.0,10.0,20.0,4,,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
265.0,134.0,127.0,9.0,38.0,4,,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
4.0,163.0,76.0,11.0,37.0,4,,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
8.0,70.0,194.0,10.0,40.0,4,,34,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
26.0,1.0,19.0,7.0,21.0,0,,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
37.0,-12.0,-3.623066502040629,5.0,21.0,0,,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
53.0,1.0,4.0,4.0,20.0,0,,37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
